"STATION","NAME","DATE","PRCP","SNOW","SNWD","TAVG","TMAX","TMIN","WDFG","WSFG"
"CA007025251","MONTREAL INTERNATIONAL A, QC CA","2013-05-25","0.62","0.0",,,"49","44",,
"CA007025251","MONTREAL INTERNATIONAL A, QC CA","2013-05-26","0.56","0.0",,,"55","40",,
"CA007025251","MONTREAL INTERNATIONAL A, QC CA","2013-05-27","0.00","0.0",,,"69","39",,
"CA007025251","MONTREAL INTERNATIONAL A, QC CA","2013-05-28","0.00","0.0",,,"73","45",,
"CA007025251","MONTREAL INTERNATIONAL A, QC CA","2013-05-29","0.80","0.0",,,"69","58",,
"CA007025251","MONTREAL INTERNATIONAL A, QC CA","2013-05-30","0.00","0.0",,,"82","60",,
"CA007025251","MONTREAL INTERNATIONAL A, QC CA","2013-05-31","0.00","0.0",,,"89","66",,
"CA007025251","MONTREAL INTERNATIONAL A, QC CA","2013-06-01","0.48","0.0",,,"85","68",,
"CA007025251","MONTREAL INTERNATIONAL A, QC CA","2013-06-02","0.49","0.0",,,"79","66",,
"CA007025251","MONTREAL INTERNATIONAL A, QC CA","2013-06-04","0.00","0.0",,,"65","48",,
"CA007025251","MONTREAL INTERNATIONAL A, QC CA","2013-06-05","0.00","0.0",,,"67","44",,
"CA007025251","MONTREAL INTERNATIONAL A, QC CA","2013-06-06","0.33","0.0",,,"61","50",,
"CA007025251","MONTREAL INTERNATIONAL A, QC CA","2013-06-07","0.38","0.0",,,"59","53",,
"CA007025251","MONTREAL INTERNATIONAL A, QC CA","2013-06-08","0.19","0.0",,,"61","53",,
"CA007025251","MONTREAL INTERNATIONAL A, QC CA","2013-06-09","0.00","0.0",,,"77","59",,
"CA007025251","MONTREAL INTERNATIONAL A, QC CA","2013-06-10","0.04","0.0",,,"78","56",,
"CA007025251","MONTREAL INTERNATIONAL A, QC CA","2013-06-13","0.00","0.0",,,"74","50",,
"CA007025251","MONTREAL INTERNATIONAL A, QC CA","2013-06-14","0.00","0.0",,,"79","55",,
"CA007025251","MONTREAL INTERNATIONAL A, QC CA","2013-06-15","0.00","0.0",,,"76","50",,
"CA007025251","MONTREAL INTERNATIONAL A, QC CA","2013-06-16","0.46","0.0",,,"65","54",,
"CA007025251","MONTREAL INTERNATIONAL A, QC CA","2013-06-17","0.02","0.0",,,"70","49",,
"CA007025251","MONTREAL INTERNATIONAL A, QC CA","2013-06-18","0.00","0.0",,,"70","48",,
"CA007025251","MONTREAL INTERNATIONAL A, QC CA","2013-06-19","0.00","0.0",,,"69","48",,
"CA007025251","MONTREAL INTERNATIONAL A, QC CA","2013-06-20","0.00","0.0",,,"74","51",,
"CA007025251","MONTREAL INTERNATIONAL A, QC CA","2013-06-21","0.00","0.0",,,"80","59",,
"CA007025251","MONTREAL INTERNATIONAL A, QC CA","2013-06-22","0.50","0.0",,,"68","65",,
"CA007025251","MONTREAL INTERNATIONAL A, QC CA","2013-06-23","0.13","0.0",,,"77","65",,
"CA007025251","MONTREAL INTERNATIONAL A, QC CA","2013-06-25","0.20","0.0",,,"84","70",,
"CA007025251","MONTREAL INTERNATIONAL A, QC CA","2013-06-26","0.00","0.0",,,"76","60",,
"CA007025251","MONTREAL INTERNATIONAL A, QC CA","2013-06-27","0.00","0.0",,,"77","58",,
"CA007025251","MONTREAL INTERNATIONAL A, QC CA","2013-06-28","0.72","0.0",,,"60","57",,
"CA007025251","MONTREAL INTERNATIONAL A, QC CA","2013-06-29","0.00","0.0",,,"72","60",,
"CA007025251","MONTREAL INTERNATIONAL A, QC CA","2013-06-30","0.00","0.0",,,"76","61",,
"CA007025251","MONTREAL INTERNATIONAL A, QC CA","2013-07-01","0.03","0.0",,,"75","60",,
"CA007025251","MONTREAL INTERNATIONAL A, QC CA","2013-07-02","0.00","0.0",,,"70","61",,
"CA007025251","MONTREAL INTERNATIONAL A, QC CA","2013-07-03","0.00","0.0",,,"79","63",,
"CA007025251","MONTREAL INTERNATIONAL A, QC CA","2013-07-04","0.00","0.0",,,"85","67",,
"CA007025251","MONTREAL INTERNATIONAL A, QC CA","2013-07-05","0.08","0.0",,,"86","71",,
"CA007025251","MONTREAL INTERNATIONAL A, QC CA","2013-07-06","0.00","0.0",,,"86","72",,
"CA007025251","MONTREAL INTERNATIONAL A, QC CA","2013-07-07","0.32","0.0",,,"79","66",,
"CA007025251","MONTREAL INTERNATIONAL A, QC CA","2013-07-08","0.06","0.0",,,"79","63",,
"CA007025251","MONTREAL INTERNATIONAL A, QC CA","2013-07-09","0.00","0.0",,,"85","66",,
"CA007025251","MONTREAL INTERNATIONAL A, QC CA","2013-07-10","0.14","0.0",,,"83","71",,
"CA007025251","MONTREAL INTERNATIONAL A, QC CA","2013-07-11","0.00","0.0",,,"80","61",,
"CA007025251","MONTREAL INTERNATIONAL A, QC CA","2013-07-12","0.00","0.0",,,"78","58",,
"CA007025251","MONTREAL INTERNATIONAL A, QC CA","2013-07-13","0.00","0.0",,,"85","58",,
"CA007025251","MONTREAL INTERNATIONAL A, QC CA","2013-07-14","0.00","0.0",,,"88","69",,
"CA007025251","MONTREAL INTERNATIONAL A, QC CA","2013-07-15","0.00","0.0",,,"92","72",,
"CA007025251","MONTREAL INTERNATIONAL A, QC CA","2013-07-16","0.00","0.0",,,"89","70",,
"CA007025251","MONTREAL INTERNATIONAL A, QC CA","2013-07-18","0.13","0.0",,,"86","70",,
"CA007025251","MONTREAL INTERNATIONAL A, QC CA","2013-07-19","0.91","0.0",,,"92","70",,
"CA007025251","MONTREAL INTERNATIONAL A, QC CA","2013-07-20","0.22","0.0",,,"83","62",,
"CA007025251","MONTREAL INTERNATIONAL A, QC CA","2013-07-21","0.00","0.0",,,"71","57",,
"CA007025251","MONTREAL INTERNATIONAL A, QC CA","2013-07-22","0.00","0.0",,,"78","55",,
"CA007025251","MONTREAL INTERNATIONAL A, QC CA","2013-07-23","0.49","0.0",,,"81","65",,
"CA007025251","MONTREAL INTERNATIONAL A, QC CA","2013-07-24","0.00","0.0",,,"71","51",,
"CA007025251","MONTREAL INTERNATIONAL A, QC CA","2013-07-25","0.00","0.0",,,"72","48",,
"CA007025251","MONTREAL INTERNATIONAL A, QC CA","2013-07-26","0.00","0.0",,,"76","55",,
"CA007025251","MONTREAL INTERNATIONAL A, QC CA","2013-07-27","0.00","0.0",,,"80","57",,
"CA007025251","MONTREAL INTERNATIONAL A, QC CA","2013-07-29","0.14","0.0",,,"74","62",,
"CA007025251","MONTREAL INTERNATIONAL A, QC CA","2013-07-30","0.00","0.0",,,"76","57",,
"CA007025251","MONTREAL INTERNATIONAL A, QC CA","2013-07-31","0.00","0.0",,,"80","61",,
"CA007025251","MONTREAL INTERNATIONAL A, QC CA","2013-08-01","0.37","0.0",,,"80","65",,
"CA007025251","MONTREAL INTERNATIONAL A, QC CA","2013-08-02","0.01","0.0",,,"78","64",,
"CA007025251","MONTREAL INTERNATIONAL A, QC CA","2013-08-03","0.06","0.0",,,"74","61",,
"CA007025251","MONTREAL INTERNATIONAL A, QC CA","2013-08-05","0.00","0.0",,,"73","52",,
"CA007025251","MONTREAL INTERNATIONAL A, QC CA","2013-08-06","0.00","0.0",,,"78","57",,
"CA007025251","MONTREAL INTERNATIONAL A, QC CA","2013-08-07","0.02","0.0",,,"81","61",,
"CA007025251","MONTREAL INTERNATIONAL A, QC CA","2013-08-08","0.00","0.0",,,"82","68",,
"CA007025251","MONTREAL INTERNATIONAL A, QC CA","2013-08-09","0.24","0.0",,,"79","67",,
"CA007025251","MONTREAL INTERNATIONAL A, QC CA","2013-08-10","0.00","0.0",,,"72","59",,
"CA007025251","MONTREAL INTERNATIONAL A, QC CA","2013-08-11","0.00","0.0",,,"77","56",,
"CA007025251","MONTREAL INTERNATIONAL A, QC CA","2013-08-12","0.00","0.0",,,"79","60",,
"CA007025251","MONTREAL INTERNATIONAL A, QC CA","2013-08-13","0.50","0.0",,,"76","61",,
"CA007025251","MONTREAL INTERNATIONAL A, QC CA","2013-08-14","0.11","0.0",,,"69","57",,
"CA007025251","MONTREAL INTERNATIONAL A, QC CA","2013-08-15","0.00","0.0",,,"75","55",,
"CA007025251","MONTREAL INTERNATIONAL A, QC CA","2013-08-16","0.00","0.0",,,"74","58",,
"CA007025251","MONTREAL INTERNATIONAL A, QC CA","2013-08-17","0.00","0.0",,,"74","53",,
"CA007025251","MONTREAL INTERNATIONAL A, QC CA","2013-08-18","0.00","0.0",,,"81","57",,
"CA007025251","MONTREAL INTERNATIONAL A, QC CA","2013-08-19","0.00","0.0",,,"82","62",,
"CA007025251","MONTREAL INTERNATIONAL A, QC CA","2013-08-20","0.00","0.0",,,"83","65",,
"CA007025251","MONTREAL INTERNATIONAL A, QC CA","2013-08-21","0.00","0.0",,,"85","67",,
"CA007025251","MONTREAL INTERNATIONAL A, QC CA","2013-08-22","0.32","0.0",,,"75","62",,
"CA007025251","MONTREAL INTERNATIONAL A, QC CA","2013-08-23","0.00","0.0",,,"74","56",,
"CA007025251","MONTREAL INTERNATIONAL A, QC CA","2013-08-24","0.00","0.0",,,"75","51",,
"CA007025251","MONTREAL INTERNATIONAL A, QC CA","2013-08-25","0.20","0.0",,,"77","56",,
"CA007025251","MONTREAL INTERNATIONAL A, QC CA","2013-08-26","0.00","0.0",,,"76","63",,
"CA007025251","MONTREAL INTERNATIONAL A, QC CA","2013-08-27","0.00","0.0",,,"79","66",,
"CA007025251","MONTREAL INTERNATIONAL A, QC CA","2013-08-28","0.16","0.0",,,"85","65",,
"CA007025251","MONTREAL INTERNATIONAL A, QC CA","2013-08-29","0.00","0.0",,,"76","61",,
"CA007025251","MONTREAL INTERNATIONAL A, QC CA","2013-08-30","0.70","0.0",,,"79","59",,
"CA007025251","MONTREAL INTERNATIONAL A, QC CA","2013-08-31","0.00","0.0",,,"75","66",,
"CA007025251","MONTREAL INTERNATIONAL A, QC CA","2013-09-01","0.00","0.0",,,"80","64",,
"CA007025251","MONTREAL INTERNATIONAL A, QC CA","2013-09-02","0.80","0.0",,,"72","60",,
"CA007025251","MONTREAL INTERNATIONAL A, QC CA","2013-09-03","0.00","0.0",,,"72","61",,
"CA007025251","MONTREAL INTERNATIONAL A, QC CA","2013-09-04","0.01","0.0",,,"66","52",,
"CA007025251","MONTREAL INTERNATIONAL A, QC CA","2013-09-05","0.00","0.0",,,"63","48",,
"CA007025251","MONTREAL INTERNATIONAL A, QC CA","2013-09-06","0.00","0.0",,,"68","43",,
"CA007025251","MONTREAL INTERNATIONAL A, QC CA","2013-09-07","0.00","0.0",,,"71","60",,
"CA007025251","MONTREAL INTERNATIONAL A, QC CA","2013-09-08","0.00","0.0",,,"64","47",,
"CA007025251","MONTREAL INTERNATIONAL A, QC CA","2013-09-09","0.00","0.0",,,"68","46",,
"CA007025251","MONTREAL INTERNATIONAL A, QC CA","2013-09-10","0.35","0.0",,,"67","58",,
"CA007025251","MONTREAL INTERNATIONAL A, QC CA","2013-09-11","0.37","0.0",,,"87","60",,
"CA007025251","MONTREAL INTERNATIONAL A, QC CA","2013-09-12","0.94","0.0",,,"75","63",,
